location,date,total_cases,total_deaths
Japan,2019-12-31,0.0,0.0
Japan,2020-01-07,0.0,0.0
Japan,2020-01-14,0.0,0.0
Japan,2020-01-21,1.0,0.0
Japan,2020-01-28,4.0,0.0
Japan,2020-02-04,20.0,0.0
Japan,2020-02-11,25.0,0.0
Japan,2020-02-18,59.0,1.0
Japan,2020-02-25,144.0,1.0
Japan,2020-03-03,254.0,6.0
Japan,2020-03-10,514.0,9.0
Japan,2020-03-17,824.0,28.0
Japan,2020-03-24,1128.0,42.0
Japan,2020-03-31,1953.0,56.0
Japan,2020-04-07,3906.0,80.0
Japan,2020-04-14,7645.0,109.0
Japan,2020-04-21,11118.0,186.0
Japan,2020-04-28,13576.0,376.0
Japan,2020-05-05,15231.0,521.0
Japan,2020-05-12,15874.0,643.0
Japan,2020-05-19,16365.0,763.0
Japan,2020-05-26,16623.0,846.0
Japan,2020-06-02,16930.0,894.0
Japan,2020-06-09,17210.0,916.0
Japan,2020-06-16,17587.0,927.0
Japan,2020-06-23,17968.0,955.0
Japan,2020-06-30,18593.0,972.0
Japan,2020-07-07,19981.0,978.0
Japan,2020-07-14,22220.0,982.0
Japan,2020-07-21,25736.0,988.0
Japan,2020-07-28,29989.0,996.0
Japan,2020-08-04,39858.0,1016.0
Japan,2020-08-11,48238.0,1051.0
Japan,2020-08-18,55958.0,1114.0
Japan,2020-08-25,63121.0,1196.0
Japan,2020-09-01,68392.0,1296.0
Japan,2020-09-08,72234.0,1377.0
Japan,2020-09-15,75958.0,1451.0
Japan,2020-09-22,79438.0,1508.0
Japan,2020-09-29,82494.0,1557.0
Japan,2020-10-06,86047.0,1602.0
Japan,2020-10-13,89673.0,1634.0
Taiwan,2019-12-31,0.0,0.0
Taiwan,2020-01-07,0.0,0.0
Taiwan,2020-01-14,0.0,0.0
Taiwan,2020-01-21,1.0,0.0
Taiwan,2020-01-28,7.0,0.0
Taiwan,2020-02-04,10.0,0.0
Taiwan,2020-02-11,18.0,0.0
Taiwan,2020-02-18,22.0,1.0
Taiwan,2020-02-25,30.0,1.0
Taiwan,2020-03-03,41.0,1.0
Taiwan,2020-03-10,45.0,1.0
Taiwan,2020-03-17,67.0,1.0
Taiwan,2020-03-24,195.0,2.0
Taiwan,2020-03-31,306.0,5.0
Taiwan,2020-04-07,373.0,5.0
Taiwan,2020-04-14,393.0,6.0
Taiwan,2020-04-21,422.0,6.0
Taiwan,2020-04-28,429.0,6.0
Taiwan,2020-05-05,438.0,6.0
Taiwan,2020-05-12,440.0,7.0
Taiwan,2020-05-19,440.0,7.0
Taiwan,2020-05-26,441.0,7.0
Taiwan,2020-06-02,443.0,7.0
Taiwan,2020-06-09,443.0,7.0
Taiwan,2020-06-16,445.0,7.0
Taiwan,2020-06-23,446.0,7.0
Taiwan,2020-06-30,447.0,7.0
Taiwan,2020-07-07,449.0,7.0
Taiwan,2020-07-14,451.0,7.0
Taiwan,2020-07-21,455.0,7.0
Taiwan,2020-07-28,467.0,7.0
Taiwan,2020-08-04,476.0,7.0
Taiwan,2020-08-11,480.0,7.0
Taiwan,2020-08-18,485.0,7.0
Taiwan,2020-08-25,487.0,7.0
Taiwan,2020-09-01,488.0,7.0
Taiwan,2020-09-08,494.0,7.0
Taiwan,2020-09-15,499.0,7.0
Taiwan,2020-09-22,509.0,7.0
Taiwan,2020-09-29,513.0,7.0
Taiwan,2020-10-06,518.0,7.0
Taiwan,2020-10-13,530.0,7.0
United States,2019-12-31,0.0,0.0
United States,2020-01-07,0.0,0.0
United States,2020-01-14,0.0,0.0
United States,2020-01-21,1.0,0.0
United States,2020-01-28,5.0,0.0
United States,2020-02-04,11.0,0.0
United States,2020-02-11,13.0,0.0
United States,2020-02-18,15.0,0.0
United States,2020-02-25,53.0,0.0
United States,2020-03-03,103.0,6.0
United States,2020-03-10,754.0,26.0
United States,2020-03-17,4661.0,85.0
United States,2020-03-24,46442.0,590.0
United States,2020-03-31,164620.0,3170.0
United States,2020-04-07,368196.0,10989.0
United States,2020-04-14,582594.0,23649.0
United States,2020-04-21,787752.0,42539.0
United States,2020-04-28,988451.0,56245.0
United States,2020-05-05,1180634.0,68934.0
United States,2020-05-12,1347916.0,80684.0
United States,2020-05-19,1508598.0,90353.0
United States,2020-05-26,1662302.0,98220.0
United States,2020-06-02,1811277.0,105147.0
United States,2020-06-09,1961185.0,111007.0
United States,2020-06-16,2114026.0,116127.0
United States,2020-06-23,2312302.0,120402.0
United States,2020-06-30,2590552.0,126140.0
United States,2020-07-07,2938625.0,130306.0
United States,2020-07-14,3363056.0,135605.0
United States,2020-07-21,3830010.0,140906.0
United States,2020-07-28,4290263.0,148011.0
United States,2020-08-04,4713562.0,155403.0
United States,2020-08-11,5094394.0,163461.0
United States,2020-08-18,5438325.0,170497.0
United States,2020-08-25,5740909.0,177279.0
United States,2020-09-01,6031013.0,183598.0
United States,2020-09-08,6300671.0,189208.0
United States,2020-09-15,6554820.0,194530.0
United States,2020-09-22,6857967.0,199881.0
United States,2020-09-29,7148044.0,205070.0
United States,2020-10-06,7458550.0,210192.0
United States,2020-10-13,7804197.0,215085.0
